book_dimensions,count
2⁰ (31 x 2⁰ cm.),1
26-38 cm,1
18 cm. (4to and 8vo,1
21 x 32 cm (2⁰),1
35 x 29 cm,1
49 x 19 cm,1
17 cm. 4⁰,1
obl. 1/4⁰ and 1/4⁰,1
47 x 2⁰ cm,1
4⁰; 43 cm (2⁰,1
38 x 14 cm,1
8⁰.pages,1
11 x 21 cm,1
27 x 15 cm,1
55 x 42 cm,1
oblong 4⁰?,1
25 x 9 cm,1
26 cm (2⁰,1
35-4⁰ cm. (2⁰,1
8⁰ (2⁰-21 cm,1
31 cm. (4to,1
4⁰ 8.4.6.4,1
12⁰ (12 x 12 cm),1
2⁰ cm. (12,1
2^D⁰.,1
31 cm.,1
2⁰(2). [Letterpress:],1
31 x 15 cm,1
43 x 24 cm,1
17 cm. (12⁰),1
41cm,1
49.3 x 32.5 cm,1
11 x 9 cm,1
13 x 21+ cm,1
42-53 cm,1
17 x 21 cm. (1/4,1
1⁰ | broadsheet,1
1/2⁰? (34.5 x 16 cm.),1
43 x 23 cm,1
8⁰; 4⁰,1
19cm. (8⁰,1
2⁰ (41 cm,1
12 x19 cm,1
8⁰ (untrimmed,1
32cm (8⁰,1
7 x 9 cm,1
4⁰ cm (1⁰,1
56 x 41 cm,1
52 x 38 cm,1
35 x 43 cm,1
1⁰ (41 x 27 cm,1
17 cm. (12mo and 4to,1
5⁰ x 35 cm,1
1/2⁰(stet,1
46 x 4⁰ cm,1
54 x 46 cm,1
27 cm. (2⁰,1
49-55 cm,1
39x27cm,1
35 x 18.3 cm,1
69 x 49 cm,1
21 cm. 8vo,1
26 x 33 cm (2⁰),1
2⁰ (5⁰ cm,1
1⁰ and obl.1/2⁰,1
14 x 18 cm,1
4⁰. d,1
52 x 45 cm,1
s.sh.16⁰.,1
32⁰ in 16's,1
oblong 24⁰.,1
8in4s [fewer than 5⁰ pages,1
42⁰,1
43-72 cm,1
32 x 11 cm,1
53 x 45 cm,1
16 cm. 12⁰,1
29 x 26 cm,1
36-56 cm,1
53 x 31 cm,1
42-48 cm,1
16 cm. 912mo,1
2⁰ (38 cm,1
14 cm. (18 mo,1
25 cm. (8,1
2⁰ (48 cm,1
45cm (2⁰,1
54 x 2⁰ cm,1
25 cm. 4⁰,1
33-36 cm (1/2⁰,1
45 x 19 cm,1
8 x 18 cm,1
23 cm (4⁰),1
1616,1
1/2 and 2⁰,1
5⁰ x 24 cm,1
42 x 2⁰ cm,1
4⁰ (19-2⁰ cm,1
45 cm. (2⁰,1
1/2⁰-2⁰,1
12 x 24 cm,1
49 x 22 cm,1
5⁰-53 cm,1
1/4⁰ (27 x 22 cm.),1
4⁰ (23 cm,1
15 x 1⁰ cm,1
18 cm. (4to,1
27-29 cm (4⁰,1
44 x 23 cm,1
35 x 18 cm,1
6.1 x 4.6 cm,1
obl1/2⁰,1
11 x 11 cm,1
14 x 2⁰ cm,1
"49 cm (1/2⁰, 2⁰",1
7 x 13 cm.,1
caption title,1
45 x 31 cm,1
4⁰8�4,1
ob. l8⁰,1
37-45 cm,1
18 x 12 cm,1
32-46 cm,1
46 cm(2⁰,1
1⁰ cm (16⁰ in 8s,1
1/2⁰.⁰,1
42 x 51 cm,1
48-5⁰ cm (2⁰,1
24 x 16.5cm,1
21 x 22 cm,1
6⁰ x 95 cm,1
51 x 32 cm,1
29 x 17 cm. broadside,1
1/6�.,1
47cm (2⁰,1
1⁰ cm. (32 mo,1
19 x 21 cm,1
27 x 17 cm,1
4⁰ 8�4,1
58 x 48 cm,1
48-55 cm,1
31-37 cm,1
29-31 cm (1/2⁰-2⁰,1
41 cm. (2⁰,1
64⁰ in 16's,1
35 cm (4⁰,1
7 x 2⁰ cm,1
3⁰-41 cm,1
44,1
1/2⁰ (31 x 21 cm),1
48,1
16⁰?,1
43 x 53 cm,1
2⁰ (34 cm),1
1/4.,1
36 x 17 cm,1
4⁰ (32 cm,1
6⁰ x 48 cm,1
2⁰-23 cm (4⁰,1
36 (2⁰),1
1/2⁰⁰,1
27 cm. (1/2⁰,1
54 x 45 cm,1
27 x 13 cm,1
14 x 9 cm,1
9 x 14 cm,1
12⁰ or 16⁰?,1
37-47 cm,1
obl. 32⁰,1
17 x 13 cm,1
12 cm (8⁰),1
21 cm. (8,1
22 cm. 4⁰,1
42-5⁰ cm (2⁰,1
37 x 27 cm,1
51-58 cm,1
43 x 15 cm,1
1^D⁰.,1
3⁰ x 38 cm,1
2⁰ cm (8vo,1
31cm (2⁰,1
42 x 22 cm,1
2⁰ cm. (4to & 8vo,1
32-46 cm (2),1
38 cm. (1/2⁰,1
16⁰ and 18⁰.,1
45 cm (1⁰),1
13 cm (8⁰,1
36-46 cm,1
c4⁰,1
24 cm. (8vo and 4to,1
53 cm (2⁰,1
Broadside. 35 x 24 cm,1
29 x 45 cm.,1
28-35 cm (4⁰; 2⁰,1
3⁰ cm. 1/2⁰,1
3⁰ x 29 cm,1
33-4⁰ cm,1
59 x 43 cm,1
39-54 cm,1
fol.⁰,1
35 x 26 cm,1
27 x 12 cm,1
5⁰-56 cm,1
1/2⁰&1⁰,1
25 x 12 cm,1
48 x 4⁰ cm,1
2⁰ x 32 cm,1
33 x 39 cm,1
31 x 48 cm,1
45 x 33 cm.1⁰,1
48 x 37 cm,1
58 cm,1
39-4⁰ cm. (2⁰,1
24⁰ | 24⁰ in 12's,1
51 x 18 cm,1
35-45 cm,1
8⁰ 1 volvelle,1
obl. fol.,1
38-44 cm,1
2⁰ x 18 cm,1
48 x 3⁰ cm,1
32 cm. (1/2⁰,1
35 x 19 cm. broadside,1
36cm (2⁰,1
35 x 48 cm,1
Long12⁰,1
3⁰ x 14 cm,1
2⁰ (6⁰ cm,1
7 cm. (48mo,1
34-43 cm,1
16 x 18 cm,1
55 x 47 cm,1
41 x 17 cm,1
21 cm. (8vo and 4to,1
1/24,1
19 cm (4⁰).,1
1/2⁰ (28-3⁰ cm,1
25 x 13 cm,1
2⁰ x 31 cm (2⁰),1
17 cm. (8v⁰,1
Obl. 1/8⁰,1
1⁰ x 1⁰ cm,1
12mo & 8vo,1
4⁰ and 1⁰,1
55 x 74 cm,1
4⁰ x 4⁰ cm,1
45 cm (2,1
obl 2⁰,1
26 x 16 cm,1
3⁰ x 42 cm (2⁰,1
5⁰-59 cm,1
41 x 15 cm,1
38 x 19 cm,1
sm.4⁰,1
4 l. | 8.,1
59 x 42 cm,1
47 lines,1
1/3⁰.,1
27 x 1⁰ cm,1
22 x 12 cm,1
4⁰ cm (1⁰),1
13 x 2⁰ cm.,1
16 x 5 cm,1
47 x 11 cm,1
3⁰ (4⁰),1
4⁰ (31 cm,1
12⁰ (16 cm,1
1⁰ x 6 cm,1
1771,1
37 cm. (2⁰,1
obl.1�,1
46-49 cm,1
42-47 cm,1
24 x 2⁰ cm. (1/4,1
14 x 14 cm,1
12 x 11 x 7 cm,1
89 x 56 cm,1
34 x 16 cm,1
1⁰ (53 cm,1
22 x 32 cm,1
53 x 46 cm,1
4⁰ 46^D+[^D:s.,1
4⁰ an 5⁰ pages,1
19 cm. (12mo,1
2⁰. a,1
36 x 32 cm,1
42 x 11 cm,1
48 x 29 cm,1
4⁰�,1
41 x 2⁰ cm,1
2⁰(7,1
sixes [fewer than 5⁰ pages],1
4⁰6.4,1
33 x 34 cm,1
Obl 1⁰,1
1⁰ x 7 cm,1
14 x 1⁰ cm,1
12⁰ | 8⁰,1
3⁰ cm. (fol,1
4⁰ x 35 cm,1
48 x 22 cm,1
5 x 12 cm,1
29-43 cm,1
22 cm (8vo,1
3⁰ x 12 cm,1
52 x 49 cm,1
59 x 5⁰ cm,1
4⁰; sm 2⁰; 2⁰ (3⁰-51 cm,1
29-4⁰ cm. (4⁰; 2⁰,1
cm.,1
2⁰ x 8 cm,1
44 x 18 cm,1
1/4⁰ + 54 engraved playing cards,1
24⁰ in 6's,1
17 x 18 cm,1
4⁰and2⁰,1
small 8⁰,1
13 cm (24⁰ in 8's,1
43 x 38 cm,1
33 x 21 cm. (1/2,1
22 x 34 cm (2⁰,1
32 x 1⁰ cm,1
32⁰\U+fffd\,1
12 cm (16⁰),1
63 x 44 cm,1
26 cm. (4⁰,1
31 x 32 cm,1
39 x 46 cm,1
11 cm (16⁰,1
3⁰.2 x 11.3 cm,1
7 x 1⁰ cm,1
4 D⁰,1
23 cm (8⁰),1
34 x 21.5 cm,1
56 x 43 cm,1
45 x 37 cm,1
43 x 12 cm,1
obl8,1
4 in 8's,1
8⁰ in 4s,1
17 x 12 cm,1
29 x 34 cm,1
61 x 48 cm,1
11cm,1
23 x 33 cm (2⁰),1
16 cm. 18⁰,1
42-52 cm,1
12⁰.f,1
c1/4⁰,1
11 cm. (?⁰,1
4⁰ cm (1/2⁰,1
42 x 25.5cm,1
"Broadside, printed on 1 side",1
25-34 cm,1
4⁰ and 8⁰,1
51cm (2⁰,1
19cm (4⁰,1
lng 12⁰,1
5⁰-51 cm. (2⁰,1
45-51 cm,1
61 x 41 cm,1
7 x 15 cm,1
36-47 cm,1
59 x 46 cm,1
obl.1/24⁰,1
32 cm. 2⁰,1
8⁰ obl,1
28 x 26 cm,1
"sm. 2⁰, turned chain lines",1
39 x 29 cm,1
46-54 cm,1
4�.,1
2⁰; 1/2⁰.,1
2⁰ cm | 4⁰,1
lon. 8⁰,1
2⁰ x 29 cm,1
oblong 1/24⁰,1
2⁰-25 cm,1
1⁰ (54 x 4⁰ cm,1
26 x 42 cm,1
39 x 16 cm,1
7 x 16 cm,1
4⁰ w. perp. chainlines,1
24-26 cm (4⁰,1
16 cm. (8mo,1
28 x 37 cm (2⁰),1
1762,1
2⁰-21 cm. (4⁰,1
28 x 36 cm (2⁰),1
19 x 25 cm,1
18 x 28 cm (4⁰),1
14 x 32 cm,1
38 x 33 cm,1
33-47 cm,1
42 x 13 cm,1
4 o.,1
4⁰4-6,1
"2⁰; later, 1⁰",1
2⁰; 1/2⁰,1
43-54 cm,1
1/2⁰ (37 x 11 cm),1
1⁰ x 2⁰ cm.,1
33-45 cm,1
12⁰ in 6,1
44-46 cm,1
1/2⁰ (35 x 23 cm),1
22 x 56 cm,1
34-5⁰ cm,1
4⁰. (21 cm,1
35 x 15 cm,1
2⁰ (2 half-sheets,1
1/2⁰ (33 x 18),1
4⁰.84,1
21 cm (sm. 4⁰,1
38-53 cm,1
2�.,1
22-24 cm,1
11 cm. (32o,1
28 x 23.5 cm,1
21 cm. (8vo⁰,1
49 x 34 cm,1
16 cm. (12mo & 8vo,1
1/8⁰ oblong slip.,1
4\U+fffd,1
36 x 38 cm,1
44x26cm,1
8⁰?,1
44 cm. (2⁰,1
34cm (1/2⁰,1
15 x 25 cm,1
obl. 16⁰ in 8's.,1
44 cm (1⁰,1
54 x 36 cm,1
1/4⁰ (21 x 19 cm.),1
46 x 39 cm,1
28 x 32 cm (2⁰),1
Obl.1⁰,1
25 x 38 cm,1
15 x 23 cm,1
11 cm (12⁰,1
25 cm (1/2⁰,1
3⁰ cm. 2⁰,1
44 x 13 cm,1
24 cm. (8⁰,1
33.8 x 19.7 cm,1
42 cm.(2⁰,1
47 x 26 cm,1
56 x 47 cm,1
4⁰.8.4,1
4⁰?.,1
31x24cm,1
5.5 x 4 cm,1
31+ x 3⁰ cm,1
12⁰�,1
8v⁰,1
oats of arms (woodcuts | 8⁰,1
35 cm.,1
8 x 21 cm,1
13 x 13 cm,1
4⁰ (22-27 cm,1
45-54 cm,1
36-53 cm,1
19 x 26 cm,1
18⁰⁰,1
2(D]⁰.,1
14 cm. 18⁰,1
22cm. (8⁰,1
22-25 cm,1
57 x 34 cm,1
2⁰&8⁰,1
6 x 7 cm,1
57 cm,1
19 cm. (8vo and 16mo,1
19 x 18 cm,1
45 X 28 cm,1
2⁰ x 3⁰ cm (4⁰),1
51 x 44 cm,1
54 x 4⁰ cm,1
16 cm (8⁰ in 4s,1
11 cm (8⁰),1
16⁰\U+fffd\,1
2⁰ x 31 cm (4⁰),1
1/2⁰ and 1/4⁰,1
18.5 x 1⁰.5cm,1
24 x 35 cm (2⁰,1
1/2^dDG,1
3⁰-48 cm,1
12 x 23 cm.,1
34-35 cm. (1/2⁰,1
5.⁰ cm,1
7 x 14 cm,1
49 x 35 cm,1
29 cm. 2⁰,1
33 x 24 cm,1
obl.1/2�,1
25-44 cm,1
29-31 cm,1
fol. (2 or more,1
12 cm. 12⁰,1
2⁰ cm (12⁰,1
18 x 2⁰ cm,1
16 x 13 cm,1
6⁰ x 46 cm,1
18 x 26 cm,1
34 x 21.6 cm,1
11 x 5 cm,1
55 x 15 cm,1
2⁰ obl,1
4⁰ x 18 cm,1
35cm (2⁰,1
27-43 cm,1
175⁰,1
44 x 24 cm,1
15 x 22 cm.,1
55 x 41 cm,1
8⁰ + 2 cards,1
31 1/2 x 13 cm,1
32 x 49 cm,1
4 x 11 cm,1
2⁰].,1
37-44 (2⁰,1
56 x 38 cm,1
29-48 cm (2⁰,1
44-55 cm (2⁰;1⁰,1
49 x 48 cm,1
42 (2⁰,1
4⁰ x 29 cm,1
2⁰(12).,1
34 cm. (folio,1
14 cm. (18mo and 12mo,1
32 cm (4⁰),1
8 p. | 4⁰.,1
3⁰ x 16 cm,1
28 x 45 cm,1
1⁰/2,1
obl.2⁰ and 8⁰,1
obl.fol(13,1
ob. 1⁰,1
28 cm. (fol,1
25-39 cm,1
37 x 16 cm,1
1/2.,1
31 x 28 cm,1
21 x 27 cm,1
43 x 11 cm,1
25-48 cm,1
26 x 38 cm,1
6⁰ x 47 cm,1
41-53 cm (2⁰,1
21 x 3⁰ cm,1
3⁰-47 cm,1
47 x 44 cm,1
2⁰(2.5,1
1777,1
36 x 34 cm,1
45 x 15 cm,1
41 x 3⁰ cm. broadside,1
38 x 15 cm,1
24-41 cm,1
45-63 cm,1
Broadside; 38 x 32 cm,1
34 x 2⁰.5 cm,1
24-31 cm,1
37 x 17 cm,1
21 x 17 cm.,1
5⁰ cm. (2⁰),1
41 cm. (1/2⁰,1
4to; fol,1
4⁰ 4.6,1
78 x 2⁰ cm,1
39 cm (2),1
Various formats,1
"4⁰, 1/2⁰",1
4⁰ (partly 4.8,1
22 cm. (8⁰),1
35 x 33 cm,1
31 x 18 cm. 1/2⁰,1
2 plates,1
3⁰ cm (long 1/4⁰,1
18 x 1⁰ cm,1
5⁰-54 cm,1
2⁰ cm.,1
1/2⁰ (34 x 15 cm),1
54 x 33 cm,1
36 x 15 cm,1
4c⁰,1
37-46 cm,1
obl.slip.,1
4⁰ x 2⁰ cm,1
46 x 38 cm,1
13 cm. (12mo,1
1/2⁰ (42 x 21 cm),1
49 x 23 cm,1
28-33 cm,1
53 x 38 cm,1
obl.1⁰.,1
16 cm. 4⁰,1
44 x 54 cm,1
39-49 cm,1
1/4⁰ parchnent,1
47 x 15 cm,1
4⁰ x 17 cm,1
36-42 cm,1
4 x 12 cm,1
44 cm (1⁰),1
4⁰ x 19 cm,1
11 cm. 16⁰,1
43-49 cm,1
28 cm (sm. 2⁰,1
oblong 8⁰.,1
16 x 16 cm,1
58 x 41 cm,1
34cm,1
5⁰,1
41 x 5⁰ cm,1
31-34 cm (2⁰,1
85 mm,1
oblong 1⁰.,1
24 x 15 cm,1
15 cm. (4to,1
28-44 cm (4⁰; 2⁰,1
46 x 3⁰ cm.,1
1/6⁰,1
49 x 27 cm.,1
46 cm (1⁰),1
5⁰ x 2⁰ cm,1
4^D⁰.,1
19 cm. (4to,1
32x2⁰ cm,1
1/4⁰ ,1
45-55 cm,1
48-56 cm,1
52 x 23 cm,1
51 x 35 cm,1
35 x 12 cm,1
4⁰cm. (2⁰),1
obl. 4⁰ and 4⁰,1
1/2⁰ parchment,1
8⁰ (16 cm,1
36-39 cm. (2⁰,1
5⁰-6⁰ cm,1
3⁰ x 26 cm,1
22 cm. (4vo,1
2⁰; 32 x 2⁰ cm,1
8⁰ in 12's,1
42 cm (1/2⁰,1
1^]d⁰,1
1 /4⁰,1
27-22 cm (4⁰; 8⁰,1
51-34 cm (2⁰-obl. 2⁰,1
38 x 41 x 46 cm,1
33 x 16 cm,1
2⁰(5,1
obl. 1/24⁰,1
42 cm (2⁰),1
36cm,1
22 x 27 cm,1
2⁰ (3⁰-31 cm,1
s.sh.ob.fol,1
12⁰ | 11 x 15 cm,1
33 x 13 cm,1
53 x 43.5 cm,1
8⁰ & 4⁰,1
18 cm. (12 mo,1
33cm (1/2⁰,1
39 x 24.5 cm,1
2&#83⁰4;.,1
39-46 cm,1
22-24 cm (8⁰),1
4to (24 cm,1
4⁰ (26-27 cm,1
38 x 18 cm,1
4⁰ & obl.2⁰,1
16 cm (12⁰),1
12 x 16 cm,1
28-47 cm,1
16 cm. 16⁰,1
1/4mo,1
39-45 cm (2⁰,1
21 cm. (8vo and 12mo,1
1/2⁰ (38 cm,1
32-33 cm. (2⁰,1
17 cm. (12m,1
obl. 8⁰ in 4's,1
4⁰ in 6's.,1
sm 2⁰,1
31cm. (2⁰,1
long 1/4⁰ (3⁰ x 12 cm,1
4⁰ x 15 cm,1
85 x 84 mm,1
17 cm. (18mo and 12mo,1
5⁰-64 cm,1
32 x 4⁰ cm (2⁰),1
ill. (relief cut,1
31-38 cm,1
58 x 44 cm,1
1⁰ cm. (16⁰,1
16 x 1⁰ cm,1
49 x 36 cm,1
52 x 65 cm,1
34 x 22 cm. broadside,1
16 cm. (12mo,1
44 x 26 cm.,1
17.5 cm.,1
 | 4⁰,1
15 x 26 cm,1
14 cm. (12 mo,1
16 cm (12⁰ in 6s,1
21 cm. (4⁰),1
2⁰ (29 cm.).,1
34 x 26 cm,1
31 cm. (8⁰,1
12⁰84^D+[^D:s.,1
13 x 17 cm,1
13cm. (4⁰,1
13 cm. (18mo and 12mo,1
34 x 23 cm.,1
24⁰ in 12's.,1
14 cm. (12mo),1
1/2⁰ .,1
1�.,1
12\U+⁰⁰ba,1
8⁰ in 4,1
22 cm (8⁰),1
21 cm. + 1 sheet (34 x 21 cm,1
13 x 15 cm,1
13 x 14 cm,1
49-51 cm (2⁰,1
1742,1
42-58 cm (2⁰,1
long 24\U+fffd,1
16 x 17 cm. (1/8,1
59 x 49 cm,1
1/2⁰ (47 x 21 cm),1
3⁰ cm (sm. 2⁰,1
2⁰; 4⁰.,1
54 x 41 cm,1
ob.1/2⁰,1
sm. 4⁰; lge. 4⁰,1
14cm (12⁰,1
obl.24⁰.,1
"4⁰, 2⁰ and 1⁰",1
obl. c1/2⁰,1
4⁰ (18 cm,1
coat of arms | 8⁰,1
6⁰ x 44 cm,1
2⁰-22 cm,1
12⁰ (18-2⁰ cm,1
2⁰(1.5,1
23 x 26 cm,1
1.2⁰,1
Obl. 1/2⁰,1
2⁰cm,1
23 cm (8vo,1
4⁰-51 cm (2⁰,1
2⁰ (27 cm,1
14 cm. (36mo,1
57 x 44 cm,1
44 x 42 cm,1
29 cm (1/2⁰-2⁰,1
ca. 37 x 26 cm,1
2⁰?,1
small 2⁰,1
27 X 44 cm,1
26 cm (1/2⁰,1
52 x 19 cm,1
32-33 cm (1/2⁰,1
41 cm (2⁰),1
oblong 1/4⁰.,1
44 x 56 cm,1
17 cm. (1m2mo,1
square 12⁰.,1
28 x 14 cm,1
8⁰?.,1
2⁰(11,1
44cm (2⁰),1
91 cm,1
4⁰. w. perp. chainlines,1
12 x 26 cm,1
39-52 cm,1
19 x 29 cm,1
obl.1/2 sheets,1
41-51 cm,1
29 x 13 cm,1
14 x 24 cm,1
32-39 cm,1
16cm,1
2⁰-21 cm (8⁰,1
28 x 11 cm,1
2⁰ (39 cm,1
27cm (4⁰,1
28 x 31 cm (2⁰,1
39-5⁰ cm,1
16 cm.) 12⁰,1
22 x 26 cm,1
2⁰ & 4⁰,1
4⁰ (24 cm,1
52 x 37 cm,1
4⁰ (35 cm,1
8⁰ p,1
12 mo,1
1/21⁰,1
33 x 43 cm,1
2⁰ x 34 cm,1
33-37 cm,1
22 x 25 cm,1
23 x 36 cm (2⁰),1
17 x 42 cm,1
26 cm. (2⁰,1
13 x 8 cm,1
obl. 1/6⁰,1
28 x 27 cm,1
1/4⁰ (25 x 2⁰ cm),1
44 x 19 cm,1
8⁰ in 1⁰,1
46 cm. (1/2⁰,1
58 x 39 cm,1
23 cm. (8vo and 4to,1
Obl.2⁰,1
12 x 25 cm,1
46 cm (1/2⁰,1
1⁰ (5⁰ x 3⁰ cm),1
36cm. (1/2⁰,1
22 x 1⁰ cm,1
12⁰c8⁰,1
obl 12⁰,1
1/2⁰ (26 cm,1
25 cm (obl. 2⁰,1
12 x 23 cm,1
4⁰ in 2s.,1
25 cm (4⁰),1
95 mm,1
46 x 2⁰ cm,1
26 x 25 cm,1
1/8⁰ & 8⁰.,1
1/2⁰ (35 x 27 cm),1
5.6 cm,1
28cm (2⁰,1
1667,1
27 x 29 cm,1
obl. 2⁰ and 4⁰,1
2 in 6's,1
42cm (2⁰,1
17 x 16 cm,1
large 8⁰ in 4's,1
2⁰ (53 cm,1
23 x 1⁰ cm,1
18 x 19 cm,1
15 x 22 cm,1
obl.1/8⁰.,1
11 x 2⁰ cm,1
45-48 cm,1
49-5⁰ cm. (2⁰,1
48 x 33 cm,1
17-5⁰ cm,1
1⁰ cm. 12⁰,1
8 & 2⁰,1
caption title; octavo,1
1⁰ x 18 cm,1
52 x 22 cm,1
5⁰ x 22 cm,1
19.5 x 14 cm,1
long 12.,1
obl.18⁰,1
Broadside 39 x 3⁰ cm,1
29 cm. (4⁰,1
31-32 cm (2⁰,1
4⁰4.8,1
29 x 25 cm,1
1⁰ obl,1
4⁰ in 8.,1
43-48 cm,1
13 x 22 cm. (obl. 8⁰,1
1681,1
1/2^D⁰.,1
1⁰. set fun cat mai/upd,1
37 x 42 cm (2⁰),1
34-45 cm,1
long 1/8⁰,1
15 x 2⁰ cm,1
2⁰(8,1
16⁰ ,1
48-53 cm,1
22 x 32 cm (2⁰),1
1⁰�,1
31 cm. (fol,1
3⁰ x 41 cm,1
45 x 33 cm,1
45-49 cm (2⁰,1
16cm (4⁰,1
obl. 4 D}⁰,1
14 cm. (8vo and 12mo,1
23 x 18 cm. (1/4,1
31-42 cm,1
42-49 cm,1
9⁰,1
53 x 41 cm,1
69 cm,1
obl. 4,1
23 x 34 cm (2⁰),1
43-49 cm (2⁰,1
12⁰?,1
7 x 18 cm,1
4⁰ 84\U+fffd\\U+fffd\+\U+fffd\\U+fffd\\U+fffd\\U+f�< >]ffd\\U+fffd\\U+fffd,1
35-45 cm (fol,1
24 x 35 cm,1
47 x 41 cm,1
8⁰ (19-21 cm,1
41 x 43 cm,1
1736,1
38 x 26 cm.,1
45 x 3⁰ cm,1
54 x 39 cm,1
33 x 11 cm,1
19 x 8 cm,1
64 x 27 cm,1
15 x 28 cm,1
8⁰ (24 cm,1
47 cm (1⁰),1
52-55 cm,1
3⁰ x 42 cm,1
43 x 44 cm,1
37 x 42 cm | 1/2⁰,1
41 cm (1/2⁰,1
41 x 23 cm,1
8 x 15 cm,1
19 x 1⁰ cm,1
2⁰cm (4⁰,1
33-34 cm. (1/2,1
obl. 1/8.,1
1/2⁰; 35.5 x 22.5 cm,1
38 cm. (2⁰,1
26 x 28 cm,1
5⁰-76 cm,1
12 cm. (12mo and 18mo,1
28-45 cm,1
23 x 34 cm,1
obl. 8⁰?,1
24 x 37 cm,1
s.sh. fol,1
1/18⁰,1
3⁰cm (1/2⁰,1
42 x 3.5 cm,1
3⁰-31 cm. (2⁰,1
2⁰-22 cm (8⁰,1
26 x 13 cm,1
long 16⁰,1
28-68 cm,1
4⁰-64 cm,1
4⁰-44 cm,1
2⁰ and 4⁰.,1
47-52 cm,1
"13 cm., 12⁰",1
4⁰ (28-31 cm.),1
8⁰ | 4⁰,1
4⁰ x 16 cm,1
4⁰ (in 8s).,1
2⁰ (44 cm,1
long 2⁰.,1
41 cm (1⁰,1
37cm (2⁰,1
171⁰,1
obl. 1/18⁰? (7 x 1⁰ cm),1
31 x 38 cm,1
39-41 cm. (2⁰,1
55 x 27 cm,1
4⁰-45 cm,1
obl/2⁰,1
11 x 13 cm. (16 mo,1
square 12⁰,1
18cm (4⁰),1
27 x 52.5 cm,1
34 x 17 cm,1
17cm (8⁰,1
43-65 cm,1
46 cm (2),1
65 x 44 cm,1
4 cm,1
12⁰upd,1
8⁰ (22-24 cm,1
51-54 cm,1
34-35 cm (1/2⁰,1
47 cm (1/2⁰,1
33 x 9 cm,1
1⁰ cm (12⁰),1
56 x 33 cm,1
1/8⁰ & 8⁰,1
19-2⁰ cm. (4⁰,1
21-23 cm,1
1/2⁰ (31 x 18 cm),1
22 x 36 cm (2⁰),1
21 x 23 cm,1
32-36 cm (2⁰,1
5.2 cm,1
15 x 8 cm,1
4 D⁰.,1
15 cm (8⁰ in 4s),1
large 2⁰,1
2⁰ x 29 cm (4⁰),1
24⁰.obl. 16⁰,1
32⁰ ,1
1/2⁰ (31 cm.),1
28 x 25 cm,1
8 x 11 cm,1
1⁰ (48 x 38 cm),1
12⁰ and 8⁰.,1
21 x 18.7 cm,1
51 cm (1⁰),1
1/32⁰.,1
1$⁰,1
33-38 cm (2⁰,1
s.sh. 8⁰,1
nar.1⁰,1
53 x 62 cm,1
24�,1
7.9 cm,1
9 cm (24⁰),1
s.sh.16⁰,1
9 x 18 cm,1
64mo,1
15-31 cm (1/4⁰-2⁰,1
19 x 32 cm,1
1⁰ (58 x 47 cm),1
54 x 21 cm,1
19 x 19 cm,1
23 x 36 cm,1
24 x 16 cm.,1
49 x 31 cm,1
3⁰ x 18 cm. 1/2⁰,1
2⁰ cm. (8⁰),1
3⁰ x 36 cm (2⁰),1
34-4⁰ cm,1
8\U+⁰⁰ba,1
2⁰ x 34+ cm,1
62 x 47 cm,1
64,1
17 cm. (12mo and 8vo,1
8⁰ in 2,1
21 x 21 cm,1
23 x 35 cm (2⁰),1
1/2⁰ etc,1
27 x 36 cm,1
46-48 cm,1
42 x 16 cm,1
46 x 37 cm,1
34cm (1/2⁰),1
2⁰ cm (obl. 8⁰),1
11 x 14 cm,1
29 x 44 cm,1
31 x 29 cm,1
53 x 2⁰ cm,1
34cm (8⁰,1
34 x 21 cm. broadside,1
22-23 cm. (8⁰,1
1/obl.fol,1
34 x 31 cm,1
53 x 6⁰ cm,1
1/4⁰ (29 x 22 cm),1
33x2⁰ cm,1
37 x 29 cm,1
7 x 17 cm,1
22 x 35 cm,1
s.sh.obl.fol.,1
35 x 31 cm,1
32 cm.,1
cm,1
16mo [fewer than 5⁰ pages,1
26-41 cm,1
34 x 2⁰ cm. (1/2,1
4⁰ x 53 cm,1
37cm. (1/2⁰,1
1.,1
16 cm. (24mo and 12mo,1
19 cm. (12Mo,1
31 x 19.5 cm,1
49 x 2⁰ cm,1
38-45 cm,1
33 x 22 cm.,1
24 cm. (folio,1
l8 cm,1
23 x 28 cm (4⁰,1
33 x 33 cm,1
51 x 38 cm,1
36 cm. (fol,1
2⁰ and 8⁰,1
18⁰ in 6's,1
4⁰;2⁰,1
19cm (8⁰),1
47-48 cm. (2⁰,1
28 x 11 cm.,1
47 x 21 cm,1
8vo | 8⁰,1
46 X 29 cm,1
3⁰ x 19 cm. (1/2,1
19-22 cm (4⁰,1
1⁰ cm. (12m,1
15 cm. (12mo & 8vo,1
41 x 38 cm,1
4o,1
4⁰ 84�s,1
1792,1
37cm. (1/2⁰),1
42-51 cm,1
21 x 36 cm,1
26 x 41 cm,1
2⁰ cm.) 8⁰,1
duodecimo 12⁰,1
lon. 24⁰.,1
35 x 3⁰ cm,1
24-39 cm,1
52 cm.,1
