book_dimensions,count
32 x 22 cm,10
31 x 22 cm,10
42 x 27 cm,10
45 x 28 cm,10
33 cm (1/2⁰,10
3⁰ cm (1/2⁰,10
1/4�,10
1⁰ cm (16⁰),10
12 x 19 cm,10
34 x 19 cm,10
31 cm (2⁰,10
2⁰ cm. 4⁰,10
s.sh.obl.fol,10
28 x 22 cm,10
51 x 4⁰ cm,10
2⁰ ,10
38 x 26 cm,10
21 cm (4⁰,9
2⁰ cm (4⁰),9
41 cm (2⁰,9
long 12⁰.,9
3⁰ cm. (2⁰,9
43 x 33 cm,9
26 x 22 cm,9
21 x 13 cm,9
36 x 24 cm,9
12 x 2⁰ cm,9
32 cm. (2⁰,9
1/32⁰,9
obl. 1/8⁰.,9
14 cm. 12⁰,9
9 cm,9
long 24⁰.,9
29 x 23 cm,9
33 cm (2⁰),9
4⁰ (2⁰ cm,9
88,9
obl. 2⁰.,9
33 cm (2⁰,9
54 x 42 cm,9
18 cm (12⁰,9
8⁰ and 12⁰,8
31 cm. (2⁰,8
56 x 45 cm,8
4⁰ and 2⁰,8
53 cm,8
caption title; quarto [fewer than 5⁰ pages],8
4⁰ x 24 cm,8
3⁰ x 21 cm,8
43 x 28 cm,8
2⁰ (29 cm,8
19 cm. (8⁰,8
obl.8⁰.,8
16⁰ in 8's.,8
23 x 14 cm,8
2⁰ (3⁰ cm,8
obl. 4⁰.,8
22 x 14 cm,8
19 x 12 cm,8
3⁰ x 22 cm,8
1⁰&1/2⁰,8
23 cm. (8⁰,8
2.,7
47 cm (2⁰,7
obl.12⁰.,7
29 x 17 cm,7
43 x 31 cm,7
5⁰ x 4⁰ cm,7
21 x 16 cm,7
26 x 21 cm,7
12mo,7
45 x 27 cm,7
17 cm (12⁰,7
29 x 24 cm,7
25 x 21 cm,7
51 x 41 cm,7
4⁰ (22 cm,7
obl. 16⁰ in 8's,7
8�,7
23 cm. (4⁰,7
29 x 19 cm,7
3⁰ cm (2⁰,7
8.,7
37 x 31 cm,7
22 cm (4⁰,7
3⁰ x 18 cm,7
19 x 13 cm,7
41 x 26 cm,7
3⁰ cm (2⁰),7
sm. 2⁰,7
1/2⁰ (33 cm,7
17 cm (8⁰,7
54 x 44 cm,7
obl 1⁰,7
42 x 24 cm,7
24 cm (8⁰,7
31 x 25 cm,7
28 cm (4⁰,7
64⁰.,7
49 x 39 cm,7
27 x 2⁰ cm,7
38 x 3⁰ cm,7
35 cm. (2⁰,7
37 cm (2⁰),7
16mo,6
43 x 32 cm,6
s.sh.obl.4⁰,6
obl. 8⁰.,6
23 x 17 cm,6
46-5⁰ cm,6
2,6
4⁰ x 33 cm,6
53 x 43 cm,6
22 x 16 cm,6
4⁰ x 27 cm,6
39 x 3⁰ cm,6
13 cm. 12⁰,6
long 4⁰,6
25 x 18 cm,6
44 x 36 cm,6
19 x 16 cm,6
56 x 46 cm,6
42 x 35 cm,6
long 1/4⁰,6
12�,6
11 x 18 cm,6
34 cm (2⁰,6
obl. 1/12⁰.,6
obl 4⁰,6
51 x 39 cm,6
13 x 23 cm,6
57 x 46 cm,6
fol.,6
29 x 21 cm,6
22 x 17 cm,6
16 cm. (8vo and 12mo,6
16 cm (12⁰,6
38 x 23 cm,6
41 x 27 cm,6
1⁰ & 1/2⁰,6
29 x 22 cm,6
1/2�.,6
28 cm (4⁰),6
21 x 18 cm,6
37 x 22 cm,6
32 x 18 cm,6
36 x 2⁰ cm,6
23 x 2⁰ cm,5
26 cm (4⁰,5
26 x 18 cm,5
12⁰ and 8⁰,5
36 x 25 cm,5
s.sh.obl.8⁰,5
38 x 29 cm,5
21cm (8⁰,5
31 x 24 cm,5
31 x 23 cm,5
18cm,5
46 x 36 cm,5
31 x 17 cm,5
15 cm (12⁰,5
21 x 12 cm,5
24mo [fewer than 5⁰ pages,5
obl. 12⁰.,5
58 x 46 cm,5
38 x 27 cm,5
37 x 26 cm,5
3⁰ cm (4⁰,5
21 x 2⁰ cm,5
28 cm. 2⁰,5
36⁰,5
