,0
,216508
"Sermons, English",11965
English poetry,8184
Christian life,6124
"Almanacs, English",4177
"Ballads, English",3501
English drama,3486
Latin language,3027
"Songs, English",3010
Conduct of life,2975
Astrology,2967
Medicine,2891
English fiction,2739
English language,2655
Society of Friends,2533
"Dissenters, Religious",2392
Ephemerides,2381
Church and state,2314
Broadsides,2275
Christianity,2170
Quakers,2092
Taxation,2051
Lord's Supper,2008
Law,2005
Funeral sermons,1911
"Theology, Doctrinal",1835
Prayers,1822
Elections,1784
Inheritance and succession,1629
English drama (Comedy,1608
Salvation,1477
"Catechisms, English",1418
"Law reports, digests, etc",1413
"Hymns, English",1407
God,1260
Real property,1244
Land tenure,1228
Women,1223
Operas,1201
Inclosures,1163
Agriculture,1157
Devotional literature,1123
"Finance, Public",1121
"Satire, English",1116
Death,1111
Clergy,1082
Debtor and creditor,993
Catholics,980
Meditations,967
"Popish Plot, 1678",959
"Catalogs, Booksellers",956
Murder,918
Devotional exercises,914
Arithmetic,912
"Chapbooks, English",908
Faith,904
Executions and executioners,894
Apologetics,890
English literature,886
English drama (Tragedy,878
Marriage,862
Geography,857
Political science,810
"Debts, Public",809
Baptism,804
Latin poetry,803
Advertising,797
Prayer,796
French fiction,785
Oaths,780
French language,773
Poor,770
"Elegiac poetry, English",753
Repentance,745
Sin,742
Wool industry,735
Education,731
Navigation,726
Money,709
Voyages and travels,706
Treason,705
Conversion,698
"Visitations, Ecclesiastical",697
Anti-Catholicism,696
"Verse drama, English",695
"Spanish Succession, War of, 1701-1714",694
Psalmody,691
Methodist Church,690
Congregational churches,683
Fast-day sermons,682
Theology,679
"Catalogs, Book",677
Plague,677
Tithes,674
Indians of North America,672
Presbyterianism,671
Trials,656
Astronomy,652
Prophecies,641
Ethics,638
Tariff,630
"Political satire, English",624
Booksellers and bookselling,623
Baptists,619
Natural history,612
Music,604
Last words,586
Slave trade,585
Infant baptism,583
"Epistolary poetry, English",581
"Verse satire, English",576
Church history,573
"Medicine, Popular",573
Trinity,572
Women as authors,569
Slavery,563
Estates (Law,559
Courts,558
Jews,558
Nobility,550
Protestants,548
Science,545
Coinage,544
Kings and rulers,538
Trials (Treason,536
Freedom of religion,530
"Odes, English",524
Land titles,523
Protestantism,523
Mathematics,516
English wit and humor,516
Theater,512
Grace (Theology,510
Church polity,506
Love,506
Greek language,506
Finance,505
Monarchy,503
Horses,502
Children,498
Roads,477
Forms (Law,472
Spiritual life,470
"Epistolary fiction, English",461
Crime,461
Religion,460
Military art and science,460
Canals,456
Philosophy,454
Book auctions,454
Persecution,451
"Sermons, American",450
Internal revenue,447
"Narrative poetry, English",442
Crime and criminals,439
Fasts and feasts,439
Sailors,438
Maxims,437
Christian ethics,436
Youth,430
Gardening,427
Providence and government of God,424
Methodism,418
"Jacobite Rebellion, 1745-1746",415
Great Britain,414
History,413
Trials (Murder,412
Episcopacy,412
Psalters,409
Lotteries,408
English letters,407
Christian literature,404
"Jacobite Rebellion, 1715",404
Women in the book trades,402
Smallpox,400
Architecture,399
Charities,388
"Christian poetry, English",388
Logic,387
Liberty,384
Justices of the peace,380
Judgment Day,379
Opera,379
Banks and banking,378
Physicians,375
Soul,375
Libel and slander,374
Charity,368
Concert programs,366
Tobacco,365
"Book-plates, English",365
Deism,365
Poor laws,364
"Thirty Years' War, 1618-1648",359
Art,357
Conscience,356
Almanacs,353
Prisoners,353
Bankruptcy,351
Ecclesiastical law,347
Passes (Transportation,346
Sabbath,345
Reformation,341
Sexually transmitted diseases,339
Payment,339
Botany,335
Young women,334
Future life,334
Fables,332
"History, Ancient",331
"Cookery, English",331
Cookery,331
Religious tolerance,330
Sunday,329
"Criminal justice, Administration of",329
Physics,329
Soldiers,324
Man-woman relationships,324
Session laws,322
Excise tax,317
Publishers and publishing,316
Ballad operas,316
Holy Spirit,314
Geometry,309
Prize law,308
War,307
Chemistry,307
Presbyterian Church,304
Recruiting and enlistment,304
Commerce,301
Shipping,300
Missions,299
Hospitals,298
Church,296
Liberty of conscience,292
Theater programs,291
"Grand Alliance, War of the, 1689-1697",291
Interest,290
Family,289
Poetry,289
Private libraries,289
"Dialogues, English",288
Divine right of kings,288
Diseases,287
Merchants,287
Puritans,285
"Debt, Imprisonment for",285
Customs administration,284
Earthquakes,281
"Speeches, addresses, etc., English",280
Shorthand,279
English essays,278
Public worship,278
Apparitions,277
Predestination,276
Chapbooks,275
"Rye House Plot, 1683",274
"Seven Years' War, 1756-1763",273
"Prerogative, Royal",272
Anabaptists,271
Obstetrics,271
Peace,270
Young men,270
Swearing,268
Conveyancing,267
World history,267
Fever,266
Preaching,266
Redemption,264
Regeneration (Theology,263
Mineral waters,262
Surgery,260
Heir apparent,258
Charity-schools,256
Pharmacopoeias,255
Immortality,255
Jacobites,255
Covenant theology,254
"Voyages, Imaginary",254
Characters and characteristics,254
Consolation,254
Landlord and tenant,253
Rhetoric,251
Auction catalogs,251
Mortality,250
Books,249
Land grants,249
Aphorisms and apothegms,249
Baptist associations,247
Letter writing,247
Revelation,247
"Love poetry, English",245
Drama,244
Weights and measures,244
Hygiene,244
Materia medica,244
Natural theology,243
Witchcraft,241
Commons,241
Heaven,240
Prices,239
Foreign trade regulation,236
Thanksgiving Day addresses,235
Sacraments,234
Surveying,232
Sermons,232
Trade regulation,232
"Fables, English",231
Freedom of the press,231
Justification (Christian theology,230
Voting registers,230
Fishing,227
Religious disputations,226
Justification,226
Dissenters,225
Heraldry,225
Recipes,225
Criminals,225
Bookkeeping,224
Pirates,223
Catechisms,221
Mensuration,221
Unitarianism,220
Piety,219
Forfeiture,219
Constitutional history,218
Loyalty oaths,218
Estate sales,217
Painting,217
"Handbooks, vade-mecums, etc",215
Allegiance,214
Gout,213
Fires,212
Maritime law,212
Universities and colleges,212
Anecdotes,212
Printing,209
French poetry,208
Shipwrecks,207
Tales,206
Ordination sermons,205
Longitude,204
Moral education,202
Miracles,200
Actions and defenses,200
Veterinary medicine,199
Church music,199
Judgment of God,199
Etiquette,199
Oratory,198
Human beings,198
Transubstantiation,198
Theaters,197
Devil,197
"Justice, Administration of",197
Riots,195
Quarantine,195
Currency question,194
Bishops,194
Fisheries,191
Prisons,191
Popes,191
American loyalists,190
"Mythology, Classical",190
"Epic poetry, English",190
Robin Hood (Legendary character,189
Wit and humor,189
Voyages around the world,189
Civil procedure,188
Psalms (Music,188
Civil rights,187
Atheism,186
Trials (Libel,186
Courtship,186
Penmanship,185
Coal trade,185
Proclamations,184
Grain trade,184
Fasting,183
Postal service,183
"Gunpowder Plot, 1605",183
Debt,183
Socinianism,182
Brigands and robbers,182
Pilot guides,182
French literature,181
Antenuptial contracts,181
"Government, Resistance to",180
Writs,180
Royalists,179
Biography,178
Art auctions,177
Judaism,177
Bounties,177
Visitation sermons,177
Hebrew language,176
Adultery,176
Wills,175
Library catalogs,175
Huguenots,175
Second Advent,173
Hell,172
Antinomianism,172
Ready-reckoners,172
Lawyers,172
"Anglo-French War, 1755-1763",172
Christian union,171
"Austrian Succession, War of, 1740-1748",171
Ordination,170
Pastoral theology,170
Patent medicines,170
Rare books,170
"Anglo-French War, 1793-1802",169
Lent,169
Health,168
Creation,168
Paper money,168
Covenanters,167
Human anatomy,166
Questions and answers,165
Schism,164
Beer,164
"Knowledge, Theory of",164
Military law,164
"Prisoners, Transportation of",163
Impeachments,163
Sick,163
Ships,162
Suffering,162
Indian captivities,162
Home economics,162
Election (Theology,162
Eschatology,161
Inland navigation,161
Sheriffs,160
Dispensatories,159
Calvinism,159
Annuities,158
Worship,158
Primers (Prayer-books,158
Birds,157
Temperance,157
Equity pleading and procedure,156
Congregationalism,156
Sugar trade,156
Drainage,156
Physiology,155
Great Awakening,155
Wine and wine making,155
Detention of persons,154
Italian drama,154
"Sin, Original",154
Curiosities and wonders,154
Good and evil,153
Courts-martial and courts of inquiry,153
"Epigrams, English",153
Elocution,153
Indulgences,152
Building laws,152
Language and languages,152
Criminal law,152
Free will and determinism,152
Logarithms,151
Land settlement,151
Harbors,151
Greek poetry,151
Meat industry and trade,150
French drama,150
Papacy,149
Dreams,149
Election sermons,148
Yellow fever,148
Visions,147
Jury,147
Literature,147
Saints,147
"Political poetry, English",147
Representative government and representation,146
Algebra,146
Meditation,146
Advowson,145
Virtue,144
Public lands,144
Patriotism,144
Trading companies,143
Trigonometry,143
Hunting,143
Freemasonry,142
Rogues and vagabonds,142
Religion and politics,142
Silk industry,142
Debts,142
"Botany, Medical",141
Alchemy,141
"Theology, Practical",141
Truth,141
"Philosophy, Ancient",141
Drawing,140
Arminianism,140
Apprentices,140
Happiness,140
Horsemanship,139
Constitutional law,139
Markets,138
Book proposals,138
Universalism,137
Prostitution,137
Bridges,137
Textile industry,136
Election law,136
"Chronology, Historical",136
Rent,135
Latin literature,135
Alcoholism,135
Political satire,134
Leases,134
Pleading,134
Petitory actions,134
Coins,134
Encyclopedias and dictionaries,133
Regicides,133
"Poetry, English",132
"Devotional literature, English",132
Italian language,132
"Almanacs, American",132
Christian moral exhortation,131
"Chapbooks, Scottish",131
Rivers,130
English farces,130
Therapeutics,130
"Dutch War, 1672-1678",130
Privateering,130
Levellers,130
Auctions,130
Fire prevention,130
Fraud,129
Public welfare,129
"Pastoral poetry, English",129
Corporations,129
Scurvy,129
Prophecy,129
Usury,129
Electricity,128
Religious education,128
Oratorios,127
Conspiracies,127
Courtesy,126
Religious education of children,126
Mathematical instruments,126
Political ethics,125
Comets,125
Anthems,125
Nautical almanacs,124
"Religious poetry, English",124
Counterfeits and counterfeiting,124
Woolen goods industry,124
Insurance,124
Mass,123
Manners and customs,123
Inquisition,123
"Dissertations, Academic",123
Horse racing,123
Robbery,122
"Medicine, popular",122
Tobacco industry,122
Martyrs,121
Accounting,121
Methodists,120
Epidemics,120
Revenue,120
Toleration,120
Naval battles,119
Utopias,118
Spellers,118
Zoology,118
Exports,118
Rationalism,118
Book catalogs,117
Education of princes,117
Children's stories,117
Business,117
Claims,117
Sundials,116
Building,116
Globes,116
Business mathematics,116
"Proverbs, Scottish",116
Suicide,115
Brownists,115
Linen industry,115
Anatomy,115
Fiction,114
Almshouses,114
Tax collection,114
Dueling,114
Trials (Adultery,114
Canon law,113
Gambling,112
"Fables, Latin",112
Occasional sermons,111
Sedition,111
Costs (Law,111
Hydrotherapy,111
Household employees,110
Dance,110
Heresy,110
Judges,110
Creeds,110
Constables,109
Corn laws (Great Britain,109
Bread,109
Stocks,109
Mines and mineral resources,109
Marriage law,108
Pride and vanity,108
Christian biography,108
Land value taxation,108
Criticism,108
"Insurance, Fire",107
Resurrection,107
Christian sects,107
Church management,107
Lutheran Church,107
Natural law,107
Temptation,106
Philosophy and religion,106
Coal,106
Blasphemy,106
"Anatomy, Human",106
"Hours, Books of",106
Contentment,106
Antichrist,106
Children's songs,105
Fall of man,105
Tariff on tobacco,105
Religious thought,105
Confirmation,105
Nonjurors,105
Medals,104
Courts and courtiers,104
Tuberculosis,104
Pharmacy,103
Fathers of the church,103
Courts baron and courts leet,103
Italian poetry,102
Political ballads and songs,102
Schools,102
Future punishment,102
Catholic emancipation,102
Duty,101
Aesthetics,101
Anglican Communion,101
Equity,101
Meteorology,101
Drowning,101
Mysticism,100
Apocalyptic literature,100
Obedience,100
"Occasional verse, English",100
